Slip Ratio,FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
-0.26,-564.0059276218602,-1072.1183610527937,-1484.577755833053,-2036.678614706626,-2093.108026249196
-0.258,-567.0337796461421,-1072.2217823141157,-1485.6436420727778,-2036.605743775909,-2110.2994559066847
-0.256,-569.9562155582455,-1072.3362449584265,-1486.727287107563,-2036.537533266202,-2126.8543760813463
-0.254,-572.7755326810056,-1072.461859269102,-1487.8286929329665,-2036.4745491198996,-2142.7868698835755
-0.252,-575.4940257796304,-1072.5987269424058,-1488.9478449250282,-2036.4173265946324,-2158.1110726191077
-0.25,-578.1139844309658,-1072.7469403517057,-1490.0847104578536,-2036.3663682163758,-2172.841140829401
-0.248,-580.6376904939701,-1072.9065817574249,-1491.2392374214576,-2036.3221415752573,-2186.9912226175306
-0.246,-583.0674156770986,-1073.0777224588276,-1492.4113526327258,-2036.2850769524812,-2200.5754292161046
-0.244,-585.4054191979948,-1073.2604218834745,-1493.6009601318192,-2036.2555647659324,-2213.6078077481325
-0.242,-587.6539455306136,-1073.454726609862,-1494.807939355807,-2036.2339528211116,-2226.1023151265094
-0.24,-589.8152222346246,-1073.660669318453,-1496.0321431806942,-2036.220543353063,-2238.0727930331013
-0.238,-591.8914578616888,-1073.8782676659373,-1497.2733958223832,-2036.215589843911,-2249.532943913978
-0.236,-593.8848399329496,-1074.1075230771987,-1498.5314905864068,-2036.2192935994833,-2260.4963079234144
-0.23399999999999999,-595.797532981829,-1074.3484194490597,-1499.8061874555358,-2036.231800067292,-2270.976240745551
-0.23199999999999998,-597.6316766559769,-1074.6009217594367,-1501.0972105035682,-2036.2531948768365,-2280.985892219218
-0.22999999999999998,-599.3893838719812,-1074.864974575084,-1502.4042451227558,-2036.2834995818057,-2290.5381856882846
-0.22799999999999998,-601.0727390161975,-1075.1405004506007,-1503.7269350514143,-2036.3226670822596,-2299.6457979969578
-0.22599999999999998,-602.6837961848128,-1075.4273982108473,-1505.0648791872766,-2036.3705767032698,-2308.3211400466794
-0.22399999999999998,-604.2245774560033,-1075.7255411083402,-1506.4176281711157,-2036.427028904802,-2316.5763378286697
-0.22199999999999998,-605.6970711867865,-1076.0347748465904,-1507.7846807240314,-2036.4917395957712,-2324.423213843647
-0.21999999999999997,-607.1032303268948,-1076.3549154596842,-1509.1654797205977,-2036.5643340232778,-2331.8732688178466
-0.21799999999999997,-608.444970741715,-1076.6857470377142,-1510.5594079787923,-2036.6443402059176,-2338.937663622077
-0.21599999999999997,-609.7241695360406,-1077.027019286906,-1511.9657837462478,-2036.731181877856,-2345.627201298217
-0.21399999999999997,-610.9426633700668,-1077.3784449124905,-1513.3838558609132,-2036.8241709079798,-2351.95230909524
-0.212,-612.1022467587229,-1077.7396968115067,-1514.8127985626393,-2036.9224991559115,-2357.9230204144756
-0.21,-613.2046703450791,-1078.1104050618037,-1516.2517059305478,-2037.0252297240045,-2363.548956561472
-0.208,-614.2516391381841,-1078.490153692527,-1517.6995859192598,-2037.1312875615772,-2368.8393081993754
-0.206,-615.2448107052812,-1078.8784772203333,-1519.1553539651857,-2037.2394493746408,-2373.802816396291
-0.204,-616.1857933079062,-1079.274856934454,-1520.6178261320536,-2037.3483327911756,-2378.4477531565394
-0.20199999999999999,-617.0761439709115,-1079.678716912549,-1522.085711762748,-2037.456384728648,-2382.781901323161
-0.19999999999999998,-617.9173664729406,-1080.0894197480175,-1523.5576056022524,-2037.5618689069136,-2386.8125337363576
-0.19799999999999998,-618.7109092463496,-1080.506261968104,-1525.0319793541235,-2037.6628524459172,-2390.5463915299133
-0.19599999999999998,-619.458163173979,-1080.928469120694,-1526.5071726303943,-2037.7571914836988,-2393.989661444944
-0.194,-620.1604592695613,-1081.3551905062034,-1527.9813832521495,-2037.8425157461322,-2397.1479520376593
-0.192,-620.8190662278826,-1081.7854935293522,-1529.4526568552383,-2037.916211995583,-2400.0262686552
-0.19,-621.4351878300929,-1082.2183576439375,-1530.918875752654,-2037.9754062812624,-2402.628987051131
-0.188,-622.0099601888114,-1082.6526678619396,-1532.3777470020634,-2038.0169449095395,-2404.959825509813
-0.186,-622.5444488168459,-1083.087207796425,-1533.8267896237926,-2038.0373740478103,-2407.0218153468154
-0.184,-623.0396455024854,-1083.5206522057633,-1535.2633209112685,-2038.0329178708082,-2408.81726965078
-0.182,-623.4964649734102,-1083.951559004614,-1536.684441772533,-2037.999455153471,-2410.347750130893
-0.18,-623.9157413302826,-1084.3783607050216,-1538.0870210379398,-2037.9324942097055,-2411.6140319334277
-0.178,-624.2982242300651,-1084.7993552487462,-1539.467678665605,-2037.8271460717144,-2412.616066290914
-0.176,-624.6445747980224,-1085.2126961896697,-1540.82276777258,-2037.678095799984,-2413.3529408685395
-0.174,-624.955361246242,-1085.6163821827822,-1542.1483554161236,-2037.4795718097105,-2413.822837674549
-0.172,-625.2310541753164,-1086.0082457338674,-1543.440202045889,-2037.2253130954798,-2414.0229884050877
-0.16999999999999998,-625.4720215346117,-1086.3859411615801,-1544.6937395443786,-2036.9085342324886,-2413.9496270992377
-0.16799999999999998,-625.6785232152664,-1086.7469317211924,-1545.9040477697163,-2036.5218880297375,-2413.597939987416
-0.16599999999999998,-625.8507052487732,-1087.0884758368795,-1547.065829511706,-2036.0574257085611,-2412.962012426151
-0.16399999999999998,-625.9885935826563,-1087.4076123870707,-1548.1733837694237,-2035.5065544788247,-2412.034772824975
-0.16199999999999998,-626.0920874034196,-1087.7011449851366,-1549.2205772562722,-2034.8599923853938,-2410.807933487268
-0.15999999999999998,-626.160951975596,-1087.9656251955912,-1550.2008140367216,-2034.1077202993151,-2409.2719283069696
-0.15799999999999997,-626.1948109644023,-1088.1973346240857,-1551.1070031979668,-2033.2389309319492,-2407.4158472876434
-0.15599999999999997,-626.1931382082165,-1088.3922658178647,-1551.9315244596626,-2032.2419747563952,-2405.2273678803012
-0.154,-626.1552489058771,-1088.5461019121096,-1552.6661916259582,-2031.1043027294909,-2402.6926831723144
-0.152,-626.0802901826723,-1088.6541949568161,-1553.3022137865084,-2029.812405719907,-2399.7964270025477
-0.15,-625.9672309979092,-1088.7115428586683,-1553.8301541772557,-2028.3517505640423,-2396.521596128541
-0.148,-625.8148513561309,-1088.7127648729027,-1554.239886617909,-2026.7067126922523,-2392.8494696310518
-0.146,-625.621730783485,-1088.6520755815825,-1554.520549451589,-2024.8605052941361,-2388.759525810704
-0.144,-625.3862360304537,-1088.5232572972063,-1554.6604969234554,-2022.795105024113,-2384.229356912032
-0.142,-625.1065079622542,-1088.3196308343556,-1554.6472479498527,-2020.491174288244,-2379.234582102996
-0.13999999999999999,-624.7804475987502,-1088.0340245974264,-1554.467432248105,-2017.9279802013361,-2373.748759244438
-0.13799999999999998,-624.4057012668128,-1087.6587419396305,-1554.10673382025,-2015.0833103609416,-2367.7432961050868
-0.13599999999999998,-623.9796448298282,-1087.1855267577519,-1553.5498318123937,-2011.9333856533024,-2361.187361814935
-0.13399999999999998,-623.4993669616107,-1086.60552729895,-1552.7803388058471,-2008.4527703868998,-2354.0477995042584
-0.13199999999999998,-622.9616514354793,-1085.9092581706223,-1551.7807366375657,-2004.61428014367,-2346.2890412482243
-0.12999999999999998,-622.3629584038933,-1085.0865605624444,-1550.5323098967176,-2000.3888878475923,-2337.8730266289253
-0.12799999999999997,-621.6994046499759,-1084.1265607117089,-1549.0150773024002,-1995.745628677005,-2328.759126438238
-0.12599999999999997,-620.9667427997324,-1083.0176266695314,-1547.2077212358083,-1990.6515045922179,-2318.904073276465
-0.124,-620.1603394930279,-1081.7473234570425,-1545.0875157796688,-1985.0713894154758,-2308.2619010529256
-0.122,-619.2751525226937,-1080.302366737964,-1542.63025370977,-1978.9679355876058,-2296.7838956645387
-0.12,-618.305706964802,-1078.6685751777452,-1539.8101729891714,-1972.301483936124,-2284.4185594153437
-0.118,-617.2460703395111,-1076.8308217104682,-1536.5998834365118,-1965.029978024337,-2271.111592040876
-0.11599999999999999,-616.0898268612968,-1074.7729839938113,-1532.9702943768782,-1957.108884910732,-2256.805891512545
-0.11399999999999999,-614.8300508602628,-1072.477894400354,-1528.890544238198,-1948.491124432896,-2241.44157811303
-0.11199999999999999,-613.4592794829582,-1069.927289971227,-1524.327933228947,-1939.127009439754,-2224.9560455871774
-0.10999999999999999,-611.9694848122042,-1067.1017628463878,-1519.2478604248995,-1928.9641997285453,-2207.2840434747623
-0.10799999999999998,-610.3520455812568,-1063.9807117853884,-1513.6137668039796,-1917.9476727959293,-2188.357795010571
-0.10599999999999998,-608.5977186987266,-1060.542295504087,-1507.3870859989095,-1906.0197148816562,-2168.10715521981
-0.10399999999999998,-606.6966108474714,-1056.7633886768256,-1500.5272047864335,-1893.1199361623321,-2146.459814026674
-0.10199999999999998,-604.6381504736158,-1052.6195415904713,-1492.991435597832,-1879.1853143336937,-2123.341549312062
-0.09999999999999998,-602.4110605413508,-1048.084944586396,-1484.7350036155153,-1864.1502711917203,-2098.6765348814506
-0.09799999999999998,-600.0033324955325,-1043.1323985885374,-1475.7110513107539,-1847.9467871722884,-2072.3877082117124
-0.09599999999999997,-597.4022019475724,-1037.733293189263,-1465.8706635725723,-1830.5045591189619,-2044.397202610136
-0.09399999999999997,-594.5941266807528,-1031.8575939482675,-1455.1629168701684,-1811.7512067987245,-2014.6268480122865
-0.09199999999999997,-591.5647676588167,-1025.4738407508796,-1443.5349561715643,-1791.612533851856,-1982.9987440392863
-0.09,-588.2989738160715,-1018.5491592676137,-1430.93210359779,-1770.0128489171723,-1949.4359081016203
-0.088,-584.7807715076422,-1011.0492877522114,-1417.2980030103765,-1746.8753525861507,-1913.8630002497705
-0.086,-580.9933596038084,-1002.9386216050217,-1402.5748048932596,-1722.1225955747796,-1876.2071251099035
-0.08399999999999999,-576.919111320977,-994.1802783052359,-1386.7033959782839,-1695.677013023593,-1836.3987095895116
-0.08199999999999999,-572.5395839916442,-984.7361854703504,-1369.623678053651,-1667.4615391065101,-1794.3724530864495
-0.07999999999999999,-567.8355380838349,-974.5671949237121,-1351.2749002614107,-1637.4003051105012,-1750.0683446895925
-0.07799999999999999,-562.786966883383,-963.6332257286539,-1331.596048905886,-1605.419422806231,-1703.432739339516
-0.07599999999999998,-557.3731383455688,-951.8934391662302,-1310.5262983308694,-1571.4478532356939,-1654.4194821596018
-0.07399999999999998,-551.5726507006239,-939.3064485768964,-1288.0055257501424,-1535.4183589762827,-1602.9910672281314
-0.07199999999999998,-545.3635034540541,-925.8305668370023,-1263.9748920053357,-1497.2685354942712,-1549.1198140185666
-0.06999999999999998,-538.7231854501548,-911.4240939800663,-1238.3774890522918,-1456.9419143836817,-1492.789041689057
-0.06799999999999998,-531.6287816570584,-896.0456470812353,-1211.1590535223283,-1414.3891281294689,-1433.9942184767992
-0.06599999999999998,-524.0571002748125,-879.6545339823249,-1182.2687439567446,-1369.5691225926419,-1372.7440607914177
-0.06399999999999997,-515.9848216542589,-862.2111717271135,-1151.6599772714292,-1322.4503997738136,-1309.0615543638473
-0.06199999999999997,-507.3886703333548,-843.6775496876767,-1119.2913176880331,-1273.0122696863075,-1242.9848681625535
-0.06,-498.2456112384929,-824.0177362827923,-1085.12740880121,-1221.2460865078126,-1174.568130908172
-0.057999999999999996,-488.53307075133057,-803.198426915503,-1049.1399366911287,-1167.156440758107,-1103.8820400622494
-0.055999999999999994,-478.229182897795,-781.1895292941807,-1011.308609113389,-1110.7622762731894,-1031.014274275945
-0.05399999999999999,-467.31306036858723,-757.9647806659913,-971.6221329055384,-1052.0978984347157,-956.0696825661153
-0.05199999999999999,-455.7650894259985,-733.5023897124253,-930.0791689661016,-991.2138386969401,-879.1702269977213
-0.04999999999999999,-443.5672469906719,-707.7856939769582,-886.6892416358071,-928.1775401530953,-800.4546603925023
-0.04799999999999999,-430.70343733998686,-680.8038217740401,-841.473577206864,-863.0738298970216,-720.0779264859433
-0.045999999999999985,-417.15984489933027,-652.5523456416007,-794.4658447804487,-796.0051464186938,-638.210276876048
-0.043999999999999984,-402.92529858856386,-623.033912636363,-745.7127719618624,-727.0914943168762,-555.0361068331761
-0.04199999999999998,-387.99164212673253,-592.2588352357675,-695.2746080926637,-656.4701042317482,-470.75252028729994
-0.03999999999999998,-372.35410363545543,-560.2456254146472,-643.225409010037,-584.294783014573,-385.5676427384149
-0.03799999999999998,-356.0116568611587,-527.0214537251013,-589.6531197964056,-510.73494757799887,-299.6987090697542
