Slip Angle (deg),FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
-15.0,2.0693125061374515,2.047341836396872,2.0303831868897073,2.016555083305862,2.0037315204019004
-14.9,2.070192335304227,2.0482307499130883,2.0312502385136573,2.017360414918859,2.0044181452205825
-14.8,2.0710737602487175,2.049121089814586,2.0321174028375437,2.018163233465726,2.005098035992536
-14.7,2.0719566383217805,2.0500126968431296,2.032984469755917,2.0189632394353088,2.005770760787116
-14.6,2.0728408191291345,2.050905403099803,2.033851218522378,2.019760119478896,2.006435869477086
-14.5,2.073726144164235,2.0517990316326054,2.034717417253185,2.0205535457918122,2.0070928929714804
-14.4,2.074612446422943,2.0526933960035123,2.035582822406586,2.021343175465893,2.0077413424144686
-14.3,2.075499549999024,2.0535882998339012,2.0364471782365867,2.022128649811365,2.0083807083486414
-14.2,2.076387269659424,2.054483536327173,2.0373102162198102,2.0229095936466144,2.009010459841067
-14.1,2.0772754103982494,2.0553788877673393,2.038171654454036,2.023685614554201,2.009630043570382
-14.0,2.0781637669682733,2.0562741249922705,2.039031197026902,2.0244563021014272,2.010238882873107
-13.9,2.079052123388754,2.05716900684022,2.0398885333531878,2.0252212270236565,2.010836376747282
-13.8,2.0799402524282558,2.0580632795681675,2.040743337479,2.025979940368486,2.0114218988114456
-13.7,2.0808279150611027,2.058956676240428,2.041595267351081,2.0267319725987907,2.011994796216853
-13.6,2.081714859895996,2.059848916085882,2.0424439640493706,2.027476832652514,2.0125543885107744
-13.5,2.0826008225752535,2.0607397038220965,2.043289050980825,2.028214006957017,2.013099966448586
-13.4,2.083485525143021,2.061628728944483,2.044130133032402,2.028942958395631,2.0136307907522526
-13.3,2.0843686753807225,2.062515664978545,2.044966795680988,2.029663125223973,2.014146090812722
-13.2,2.085249966107881,2.0634001686931414,2.0457986040579175,2.030373919933414,2.0146450633336057
-13.1,2.0861290744463767,2.0642818792725617,2.0466251019655908,2.031074728058989,2.01512687091341
-13.0,2.0870056610460206,2.065160417445089,2.0474458108435694,2.0317649069288604,2.015590640563465
-12.9,2.087879369269266,2.066035384565572,2.048260228681347,2.032443784352303,2.0160354621585617
-12.8,2.088749824332672,2.0669063616493766,2.0490678288748607,2.0331106572430215,2.0164603868171596
