Slip Angle (deg),IA = -4.0 deg,IA = -3.0 deg,IA = -2.0 deg,IA = -1.0 deg,IA = 0.0 deg,IA = 1.0 deg,IA = 2.0 deg,IA = 3.0 deg,IA = 4.0 deg
-25.0,-1332.8876847181382,-1348.9000165402356,-1360.4361414652997,-1367.5214249165856,-1370.1846410169092,-1372.851410441001,-1371.1027063112579,-1364.9269758170988,-1354.3151922231161
-24.8,-1333.693419136451,-1349.7092406492472,-1361.2453107747053,-1368.3268913504835,-1370.982676047102,-1373.6491088794924,-1371.8969544246097,-1365.714731168208,-1355.093474896774
-24.6,-1334.5068509112734,-1350.5263694757705,-1362.062570888426,-1369.1406065021306,-1371.7890829633725,-1374.4550479489094,-1372.6992978937485,-1366.510425709636,-1355.8795322220117
-24.4,-1335.328036316204,-1351.3514684713946,-1362.8879967601615,-1369.9626548566048,-1372.603955523663,-1375.2693158987129,-1373.509819996391,-1367.3141383883046,-1356.6734395344613
-24.2,-1336.1570291904407,-1352.1846010975814,-1363.7216618340394,-1370.7931198927374,-1373.4273869924375,-1376.0920002578289,-1374.328603107834,-1368.1259471155668,-1357.4752710522018
-24.0,-1336.9938806670252,-1353.0258285782518,-1364.5636378239917,-1371.632083891027,-1374.2594699781978,-1376.923187662194,-1375.1557285214376,-1368.9459285836533,-1358.2850996912648
-23.8,-1337.838638879441,-1353.875209632235,-1365.4139944746612,-1372.479627724874,-1375.1002962561897,-1377.7629636670347,-1375.9912762535741,-1369.7741580665133,-1359.1029968656499
-23.6,-1338.6913486448639,-1354.7328001839776,-1366.2727993023452,-1373.335830633769,-1375.9499565750648,-1378.611412542623,-1376.8353248317776,-1370.6107092037869,-1359.9290322706124
-23.4,-1339.552051122214,-1355.598653050773,-1367.1401173143734,-1374.2007699769579,-1376.8085404461674,-1379.4686170521563,-1377.6879510647384,-1371.4556537665612,-1360.7632736478904
-23.2,-1340.4207834430158,-1356.4728176046415,-1368.0160107051715,-1375.0745209659844,-1377.676135913988,-1380.334658210286,-1378.5492297926578,-1372.3090614034315,-1361.6057865314233
