Slip Angle (deg),IA = -4.0 deg,IA = -3.0 deg,IA = -2.0 deg,IA = -1.0 deg,IA = 0.0 deg,IA = 1.0 deg,IA = 2.0 deg,IA = 3.0 deg,IA = 4.0 deg
-2.5999999999999996,36.11727010966087,36.112317314598485,37.026603712127546,37.031391811791586,31.92699459880527,21.918934365729907,11.52883897069209,1.7468953658599957,-7.42753709405772
-2.5,34.820350977872906,34.61798495973883,35.45611862296718,35.870542893844465,31.770116730787603,22.157730381492918,11.78468798939807,1.9545284011415796,-7.255178326566038
-2.3999999999999986,33.502355955894025,33.09441290661942,33.81195959601798,34.53174691407161,31.4147808803686,22.310326003516682,12.002159168208935,2.137358103503417,-7.101553024254166
-2.299999999999999,32.16637943964893,31.548050866734272,32.107917405033625,33.029922538733075,30.84229582101852,22.35880512639495,12.173457306147622,2.2915370533954906,-6.969185938932956
-2.1999999999999993,30.815498392841942,29.985026689149787,30.35740890939253,31.383754674353632,30.039691062092118,22.283759365166077,12.289551308103487,2.412716055142739,-6.860841793719907
-2.0999999999999996,29.452771753955552,28.41112701429309,28.573196699320757,29.61458720626886,29.001431663712793,22.064948814278164,12.340075588476276,2.4959795130771507,-6.779547687410765
-2.0,28.08124068141064,26.831791335716904,26.76718998175323,27.745241630711085,27.730569525267338,21.68229502621753,12.3132795489106,2.5357772083685073,-6.728617572218225
-1.8999999999999986,26.70392907963943,25.25211650491855,24.950321061913105,25.798890304343114,26.23907701222344,21.11720720176508,12.196057495117385,2.525855661877881,-6.711678728167148
-1.799999999999999,25.323843883080382,23.676868825006057,23.1324871544885,23.798084191004516,24.547249595824205,20.354176048255287,11.974099828808486,2.459194432002721,-6.732699935498139
-1.6999999999999993,23.943974625333112,22.110501125762035,21.322544883786914,21.763995592504138,22.682248532011286,19.382486455499304,11.632212410285666,2.327955689963331,-6.79602069379043
-1.5999999999999996,22.567291884607062,20.557172544069836,19.528344298053586,19.715896686589847,20.67602501299389,18.197819666710988,11.154850934067843,2.1234593527269974,-6.906380298878714
