Slip Angle (deg),FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
-14.799999999999999,-621.3221280746153,-1024.560544907293,-1422.4821819862805,-1816.3469101191538,-2205.6078395917893
-14.6,-621.8522457387404,-1025.4527015499016,-1423.6958529656645,-1817.7841075310062,-2207.0794564247944
-14.399999999999999,-622.383733926883,-1026.346698001756,-1424.9079756846104,-1819.2088579193035,-2208.5154766559153
-14.2,-622.9161808978272,-1027.2417681635866,-1426.1171513538673,-1820.618634281953,-2209.9115058251737
-14.0,-623.449130090482,-1028.1370624961353,-1427.3218379188313,-1822.0106718912846,-2211.2627711604173
-13.8,-623.9820757284767,-1029.0316397840838,-1428.5203362352997,-1823.3819463316377,-2212.5640886925903
-13.599999999999998,-624.5144579687989,-1029.924458042941,-1429.7107748345595,-1824.7291493872629,-2213.809827361852
-13.399999999999999,-625.0456575429064,-1030.8143644722413,-1430.8910931226812,-1826.0486625560682,-2214.9938698274777
-13.2,-625.5749898323643,-1031.7000843465707,-1432.0590228405422,-1827.3365279400723,-2216.1095696669663
-13.0,-626.1016983138062,-1032.5802087225445,-1433.2120675904985,-1828.5884162359741,-2217.1497046198115
-12.8,-626.6249472998015,-1033.4531808246884,-1434.3474802124026,-1829.7995915187196,-2218.1064254988755
-12.599999999999998,-627.1438138928382,-1034.3172809559544,-1435.462237765516,-1830.964872477016,-2218.971200357069
-12.399999999999999,-627.657279058982,-1035.1706097590868,-1436.553013843412,-1832.0785897220323,-2219.734753459033
-12.2,-628.1642177156057,-1036.0110696328509,-1437.6161479157552,-1833.1345387486865,-2220.3869985666142
-12.0,-628.6633877137269,-1036.8363440819132,-1438.647611353415,-1834.1259280824966,-2220.9169660031575
-11.8,-629.1534175796229,-1037.6438747504626,-1439.6429697511692,-1835.045322093582,-2221.312722915036
-11.599999999999998,-629.6327928622636,-1038.4308358569658,-1440.59734111467,-1835.884577902548,-2221.561286099542
-11.399999999999999,-630.0998409123227,-1039.1941057102092,-1441.505349424687,-1836.6347757402507,-2221.648526716576
-11.2,-630.5527138947036,-1039.930234944303,-1442.3610730311916,-1837.286142054328,-2221.5590661478623
-11.0,-630.9893698091572,-1040.6354110618574,-1443.1579872616865,-1837.8279645795058,-2221.2761622124112
